,precision,recall,f1-score,support,model
0,0.9981949458483754,0.5730569948186528,0.728110599078341,1930.0,logistic_regression
1,0.055900621118012424,1.0,0.10588235294117647,9.0,logistic_regression
2,0.21839080459770116,0.9047619047619048,0.35185185185185186,21.0,logistic_regression
3,0.34782608695652173,1.0,0.5161290322580645,16.0,logistic_regression
4,0.208955223880597,0.875,0.3373493975903614,16.0,logistic_regression
5,0.0019193857965451055,0.3333333333333333,0.003816793893129771,3.0,logistic_regression
6,0.3,0.6,0.4,5.0,logistic_regression
accuracy,0.584,0.584,0.584,0.584,logistic_regression
macro avg,0.3044552954568219,0.7551646047019843,0.34902000394470356,2000.0,logistic_regression
weighted avg,0.9710099085523809,0.584,0.7146311957729059,2000.0,logistic_regression
0,0.9982014388489209,0.5751295336787565,0.7297830374753451,1930.0,logistic_regression_oversampling
1,0.05625,1.0,0.10650887573964497,9.0,logistic_regression_oversampling
2,0.21951219512195122,0.8571428571428571,0.34951456310679613,21.0,logistic_regression_oversampling
3,0.35555555555555557,1.0,0.5245901639344263,16.0,logistic_regression_oversampling
4,0.22388059701492538,0.9375,0.3614457831325301,16.0,logistic_regression_oversampling
5,0.0019083969465648854,0.3333333333333333,0.003795066413662239,3.0,logistic_regression_oversampling
6,0.3,0.6,0.4,5.0,logistic_regression_oversampling
accuracy,0.586,0.586,0.586,0.586,logistic_regression_oversampling
macro avg,0.30790116906970255,0.7575865320221352,0.3536624985432007,2000.0,logistic_regression_oversampling
weighted avg,0.9712107433539727,0.586,0.7164838041933138,2000.0,logistic_regression_oversampling
0,0.9979423868312757,0.5025906735751295,0.6685044796691937,1930.0,logistic_regression_undersampling
1,0.03535353535353535,0.7777777777777778,0.06763285024154589,9.0,logistic_regression_undersampling
2,0.14285714285714285,0.9047619047619048,0.24675324675324675,21.0,logistic_regression_undersampling
3,0.25,1.0,0.4,16.0,logistic_regression_undersampling
4,0.08653846153846154,0.5625,0.15,16.0,logistic_regression_undersampling
5,0.001984126984126984,0.3333333333333333,0.0039447731755424065,3.0,logistic_regression_undersampling
6,0.12,0.6,0.2,5.0,logistic_regression_undersampling
accuracy,0.5125,0.5125,0.5125,0.5125,logistic_regression_undersampling
macro avg,0.23352509336636315,0.6687090984925922,0.24811933569136121,2000.0,logistic_regression_undersampling
weighted avg,0.9676687780840557,0.5125,0.6529079969575314,2000.0,logistic_regression_undersampling
0,0.9982949701619779,0.6067357512953367,0.7547534643893007,1930.0,logistic_regression_smote
1,0.06428571428571428,1.0,0.12080536912751678,9.0,logistic_regression_smote
2,0.25333333333333335,0.9047619047619048,0.3958333333333333,21.0,logistic_regression_smote
3,0.38095238095238093,1.0,0.5517241379310345,16.0,logistic_regression_smote
4,0.21875,0.875,0.35,16.0,logistic_regression_smote
5,0.002008032128514056,0.3333333333333333,0.003992015968063872,3.0,logistic_regression_smote
6,0.375,0.6,0.46153846153846156,5.0,logistic_regression_smote
accuracy,0.6165,0.6165,0.6165,0.6165,logistic_regression_smote
macro avg,0.3275177758374172,0.7599758556272248,0.3769495403268159,2000.0,logistic_regression_smote
weighted avg,0.9720420630164062,0.6165,0.7414105945779955,2000.0,logistic_regression_smote
0,0.9972943722943723,0.9549222797927461,0.9756484912652197,1930.0,random_forest
1,0.09333333333333334,0.7777777777777778,0.16666666666666666,9.0,random_forest
2,0.8695652173913043,0.9523809523809523,0.9090909090909091,21.0,random_forest
3,0.9411764705882353,1.0,0.9696969696969697,16.0,random_forest
4,0.5357142857142857,0.9375,0.6818181818181818,16.0,random_forest
5,0.0,0.0,0.0,3.0,random_forest
6,0.4444444444444444,0.8,0.5714285714285714,5.0,random_forest
accuracy,0.9525,0.9525,0.9525,0.9525,random_forest
macro avg,0.5545040176808537,0.774654429993068,0.6106213985666454,2000.0,random_forest
weighted avg,0.9848657412082094,0.9525,0.9664369412570842,2000.0,random_forest
0,0.9961132704053304,0.9295336787564766,0.9616724738675958,1930.0,random_forest_oversampling
1,0.08433734939759036,0.7777777777777778,0.15217391304347827,9.0,random_forest_oversampling
2,0.8076923076923077,1.0,0.8936170212765957,21.0,random_forest_oversampling
3,1.0,1.0,1.0,16.0,random_forest_oversampling
4,0.4642857142857143,0.8125,0.5909090909090909,16.0,random_forest_oversampling
5,0.0,0.0,0.0,3.0,random_forest_oversampling
6,1.0,1.0,1.0,5.0,random_forest_oversampling
accuracy,0.928,0.928,0.928,0.928,random_forest_oversampling
macro avg,0.6217755202544204,0.7885444937906078,0.6569103570138229,2000.0,random_forest_oversampling
weighted avg,0.9843238789584878,0.928,0.9533089713416025,2000.0,random_forest_oversampling
0,0.9938380281690141,0.5849740932642487,0.7364644487932159,1930.0,random_forest_undersampling
1,0.04712041884816754,1.0,0.09,9.0,random_forest_undersampling
2,0.11643835616438356,0.8095238095238095,0.20359281437125748,21.0,random_forest_undersampling
3,0.20833333333333334,0.625,0.3125,16.0,random_forest_undersampling
4,0.25,1.0,0.4,16.0,random_forest_undersampling
5,0.002421307506053269,0.3333333333333333,0.004807692307692308,3.0,random_forest_undersampling
6,1.0,0.4,0.5714285714285714,5.0,random_forest_undersampling
accuracy,0.592,0.592,0.592,0.592,random_forest_undersampling
macro avg,0.37402163486013595,0.6789758908744845,0.3312562181286767,2000.0,random_forest_undersampling
weighted avg,0.966658640435567,0.592,0.7203667006033845,2000.0,random_forest_undersampling
0,0.9975683890577508,0.850259067357513,0.9180419580419581,1930.0,random_forest_smote
1,0.10126582278481013,0.8888888888888888,0.18181818181818182,9.0,random_forest_smote
2,0.782608695652174,0.8571428571428571,0.8181818181818182,21.0,random_forest_smote
3,0.9411764705882353,1.0,0.9696969696969697,16.0,random_forest_smote
4,0.46875,0.9375,0.625,16.0,random_forest_smote
5,0.0,0.0,0.0,3.0,random_forest_smote
6,0.8,0.8,0.8,5.0,random_forest_smote
accuracy,0.851,0.851,0.851,0.851,random_forest_smote
macro avg,0.5844813397261385,0.7619701161984656,0.6161055611055611,2000.0,random_forest_smote
weighted avg,0.9846059947123149,0.851,0.9100771561771563,2000.0,random_forest_smote
0,0.9953757225433526,0.8922279792746114,0.940983606557377,1930.0,svc
1,0.08641975308641975,0.7777777777777778,0.15555555555555556,9.0,svc
2,0.5,0.9047619047619048,0.6440677966101694,21.0,svc
3,0.6666666666666666,0.875,0.7567567567567568,16.0,svc
4,0.5,0.8125,0.6190476190476191,16.0,svc
5,0.0,0.0,0.0,3.0,svc
6,0.7142857142857143,1.0,0.8333333333333334,5.0,svc
accuracy,0.89,0.89,0.89,0.89,svc
macro avg,0.49467826522602193,0.7517525231163277,0.5642492382658302,2000.0,svc
weighted avg,0.9772955087622719,0.89,0.9286016605320441,2000.0,svc
0,0.994833524684271,0.8979274611398964,0.9438997821350763,1930.0,svc_oversampling
1,0.08860759493670886,0.7777777777777778,0.1590909090909091,9.0,svc_oversampling
2,0.5277777777777778,0.9047619047619048,0.6666666666666666,21.0,svc_oversampling
3,0.6363636363636364,0.875,0.7368421052631579,16.0,svc_oversampling
4,0.6190476190476191,0.8125,0.7027027027027027,16.0,svc_oversampling
5,0.0,0.0,0.0,3.0,svc_oversampling
6,0.6666666666666666,0.8,0.7272727272727273,5.0,svc_oversampling
accuracy,0.895,0.895,0.895,0.895,svc_oversampling
macro avg,0.5047566884966684,0.7239953062399398,0.5623535561616056,2000.0,svc_oversampling
weighted avg,0.97766470887416,0.895,0.9319137391331666,2000.0,svc_oversampling
0,0.9981566820276497,0.561139896373057,0.718407960199005,1930.0,svc_undersampling
1,0.025,0.6666666666666666,0.04819277108433735,9.0,svc_undersampling
2,0.16161616161616163,0.7619047619047619,0.26666666666666666,21.0,svc_undersampling
3,0.23333333333333334,0.875,0.3684210526315789,16.0,svc_undersampling
4,0.13636363636363635,0.75,0.23076923076923078,16.0,svc_undersampling
5,0.0023923444976076554,0.3333333333333333,0.004750593824228029,3.0,svc_undersampling
6,0.4,0.8,0.5333333333333333,5.0,svc_undersampling
accuracy,0.568,0.568,0.568,0.568,svc_undersampling
macro avg,0.27955173683405554,0.6782920940396885,0.3100773726440543,2000.0,svc_undersampling
weighted avg,0.9689918321279739,0.568,0.7024145305531954,2000.0,svc_undersampling
0,0.9946682464454977,0.8699481865284974,0.9281370923161968,1930.0,svc_smote
1,0.07228915662650602,0.6666666666666666,0.13043478260869565,9.0,svc_smote
2,0.6060606060606061,0.9523809523809523,0.7407407407407407,21.0,svc_smote
3,0.5833333333333334,0.875,0.7,16.0,svc_smote
4,0.6086956521739131,0.875,0.717948717948718,16.0,svc_smote
5,0.0,0.0,0.0,3.0,svc_smote
6,0.8,0.8,0.8,5.0,svc_smote
accuracy,0.8685,0.8685,0.8685,0.8685,svc_smote
macro avg,0.523578142091408,0.7198565436537309,0.5738944762306215,2000.0,svc_smote
weighted avg,0.9780800272724188,0.8685,0.9173606181282367,2000.0,svc_smote
0,0.9984484096198604,0.6668393782383419,0.7996272134203168,1930.0,neural_network
1,0.030927835051546393,1.0,0.06,9.0,neural_network
2,0.20689655172413793,0.8571428571428571,0.3333333333333333,21.0,neural_network
3,0.19736842105263158,0.9375,0.32608695652173914,16.0,neural_network
4,0.16666666666666666,0.6875,0.2682926829268293,16.0,neural_network
5,0.006289308176100629,0.3333333333333333,0.012345679012345678,3.0,neural_network
6,0.15625,1.0,0.2702702702702703,5.0,neural_network
accuracy,0.673,0.673,0.673,0.673,neural_network
macro avg,0.25183531318442054,0.7831879383877903,0.2957080193549764,2000.0,neural_network
weighted avg,0.9691266439980192,0.673,0.7808594922603884,2000.0,neural_network
0,0.994579945799458,0.9507772020725389,0.9721854304635762,1930.0,neural_network_oversampling
1,0.1111111111111111,0.6666666666666666,0.19047619047619047,9.0,neural_network_oversampling
2,0.6060606060606061,0.9523809523809523,0.7407407407407407,21.0,neural_network_oversampling
3,0.5,0.875,0.6363636363636364,16.0,neural_network_oversampling
4,0.56,0.875,0.6829268292682927,16.0,neural_network_oversampling
5,0.0,0.0,0.0,3.0,neural_network_oversampling
6,1.0,0.4,0.5714285714285714,5.0,neural_network_oversampling
accuracy,0.9455,0.9455,0.9455,0.9455,neural_network_oversampling
macro avg,0.5388216661387394,0.6742606887314512,0.5420173426772869,2000.0,neural_network_oversampling
weighted avg,0.9776132840601133,0.9455,0.9587767561858986,2000.0,neural_network_oversampling
0,0.9967159277504105,0.9435233160621762,0.969390471120575,1930.0,neural_network_undersampling
1,0.11363636363636363,0.5555555555555556,0.18867924528301888,9.0,neural_network_undersampling
2,0.6060606060606061,0.9523809523809523,0.7407407407407407,21.0,neural_network_undersampling
3,0.5,1.0,0.6666666666666666,16.0,neural_network_undersampling
4,0.45714285714285713,1.0,0.6274509803921569,16.0,neural_network_undersampling
5,0.0,0.0,0.0,3.0,neural_network_undersampling
6,0.75,0.6,0.6666666666666666,5.0,neural_network_undersampling
accuracy,0.9405,0.9405,0.9405,0.9405,neural_network_undersampling
macro avg,0.48907939351289104,0.7216371177140977,0.5513706815528321,2000.0,neural_network_undersampling
weighted avg,0.9782380131362889,0.9405,0.9561082468560435,2000.0,neural_network_undersampling
0,0.9939824945295405,0.9414507772020725,0.9670037253858436,1930.0,neural_network_smote
1,0.10416666666666667,0.5555555555555556,0.17543859649122806,9.0,neural_network_smote
2,0.7142857142857143,0.9523809523809523,0.8163265306122449,21.0,neural_network_smote
3,0.56,0.875,0.6829268292682927,16.0,neural_network_smote
4,0.625,0.9375,0.75,16.0,neural_network_smote
5,0.0,0.0,0.0,3.0,neural_network_smote
6,1.0,0.6,0.75,5.0,neural_network_smote
accuracy,0.937,0.937,0.937,0.937,neural_network_smote
macro avg,0.5710621250688459,0.6945553264483685,0.5916708116796584,2000.0,neural_network_smote
weighted avg,0.9791418572210066,0.937,0.9558579118871244,2000.0,neural_network_smote
